text,pos,neg
what  said,0.0,0.0
plus youve added commercials to the experience tacky,1.0,0.0
i didnt today must mean i need to take another trip,0.0,0.0
its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,0.0,1.0
and its a really big bad thing about it,0.0,1.0
seriously would pay 30 a flight for seats that didnt have this playing,0.0,1.0
yes,1.0,0.0
really missed a prime opportunity for men without hats parody,0.0,0.0
well,1.0,0.0
it was amazing,1.0,0.0
did you know that suicide is the second leading cause of death among teens 1024,0.0,0.0
i lt3 pretty graphics so much better than minimal iconography d,1.0,0.0
this is such a great deal already thinking about my 2nd trip to  amp i havent even gone on my 1st trip yet p,1.0,0.0
im flying your fabulous seductive skies again u take all the stress away from travel httptcoahlxhhkiyn,1.0,0.0
thanks,1.0,0.0
sfopdx schedule is still mia,0.0,1.0
so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america 29daystogo,1.0,0.0
i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help,0.0,1.0
i  flying,1.0,0.0
you know what would be amazingly awesome bosfll please i want to fly with only you,1.0,0.0
why are your first fares in may over three times more than other carriers when all seats are available to select,0.0,1.0
i love this graphic httptcout5grrwaaa,1.0,0.0
i love the hipster innovation you are a feel good brand,1.0,0.0
will you be making bosgtlas non stop permanently anytime soon,0.0,0.0
you guys messed up my seating i reserved seating with my friends and you guys gave my seat away   i want free internet,0.0,1.0
status match program  i applied and its been three weeks  called and emailed with no response,0.0,1.0
what happened 2 ur vegan food options at least say on ur site so i know i wont be able 2 eat anything for next 6 hrs fail,0.0,1.0
do you miss me dont worry well be together very soon,0.0,0.0
amazing to me that we cant get any cold air from the vents vx358 noair worstflightever roasted sfotobos,0.0,1.0
lax to ewr  middle seat on a red eye such a noob maneuver sendambien andchexmix,0.0,0.0
hi i just bked a cool birthday trip with you,0.0,1.0
are the hours of operation for the club at sfo that are posted online current,0.0,0.0
help,0.0,1.0
awaiting my return phone call,0.0,1.0
this is great news  america could start flights to hawaii by end of year httptcor8p2zy3fe4 via,1.0,0.0
nice rt  vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience httptcoy7o0unxtqp,0.0,0.0
moodlighting is the only way to fly best experience ever cool and calming  moodlitmonday,1.0,0.0
done and done best airline around,1.0,0.0
when can i book my flight to hawaii,0.0,0.0
your chat support is not working on your site httptcovhp2gtdwpk,0.0,1.0
view of downtown los angeles,1.0,0.0
hey,0.0,1.0
plz help me win my bid upgrade for my flight 227 laxgtsea,0.0,0.0
i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp,0.0,0.0
are flights leaving dallas for seattle on time feb 24,0.0,0.0
im elevategold for a good reason you rock,1.0,0.0
dream httptcooa2drfaoq2 httptcolwwdac2khx,0.0,0.0
wow this just blew my mind,1.0,0.0
after last night tribute soundofmusic oscars2015  i think  agree,0.0,0.0
all were entertaining,0.0,0.0
is flight 769 on its way was supposed to take off 30 minutes ago website still shows on time not in flight thanks,0.0,0.0
julie andrews all the way though  was very impressive no to,1.0,0.0
wish you flew out of atlanta soon,0.0,0.0
julie andrews hands down,0.0,0.0
will flights be leaving dallas for la on february 24th,0.0,0.0
hi im so excited about your 99 lgagtdal deal but ive been trying 2 book since last week amp the page never loads thx,0.0,1.0
you know it need it on my spotify stat guiltypleasures,1.0,0.0
im lady gaga she is amazing,1.0,0.0
carrie,0.0,0.0
new marketing song httpstcof2lfulcbq7 let us know what you think,0.0,0.0
julie andrews first but lady gaga wowd me last night carrie meh,0.0,0.0
i called a 34 weeks ago about adding 3 flights from 2014 to my elevatethey still havent shown uphelp,0.0,1.0
all are great,0.0,0.0
sorry,0.0,0.0
love all three but you really cant beat the classics,1.0,0.0
flight 0736 dal to dca 224 210pm tried to check in could not status please,0.0,0.0
heyyyy guyyyys been trying to get through for an hour can someone call me please,0.0,1.0
hi,0.0,1.0
congrats on winning the  award for best deals from an airline us httptcokj1iljaebv,1.0,0.0
everything was fine until you lost my bag,0.0,1.0
need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,0.0,0.0
i emailed your customer service team let me know if you need the tracking number,0.0,0.0
