text,pos,neg
a,1.0,0.0
abound,1.0,0.0
abounds,1.0,0.0
abundance,1.0,0.0
abundant,1.0,0.0
accessable,1.0,0.0
accessible,1.0,0.0
acclaim,1.0,0.0
acclaimed,1.0,0.0
acclamation,1.0,0.0
accolade,1.0,0.0
accolades,1.0,0.0
accommodative,1.0,0.0
accomodative,1.0,0.0
accomplish,1.0,0.0
accomplished,1.0,0.0
accomplishment,1.0,0.0
accomplishments,1.0,0.0
accurate,1.0,0.0
accurately,1.0,0.0
achievable,1.0,0.0
achievement,1.0,0.0
achievements,1.0,0.0
achievible,1.0,0.0
acumen,1.0,0.0
adaptable,1.0,0.0
adaptive,1.0,0.0
adequate,1.0,0.0
adjustable,1.0,0.0
admirable,1.0,0.0
admirably,1.0,0.0
admiration,1.0,0.0
admire,1.0,0.0
admirer,1.0,0.0
admiring,1.0,0.0
admiringly,1.0,0.0
adorable,1.0,0.0
adore,1.0,0.0
adored,1.0,0.0
adorer,1.0,0.0
adoring,1.0,0.0
adoringly,1.0,0.0
adroit,1.0,0.0
adroitly,1.0,0.0
adulate,1.0,0.0
adulation,1.0,0.0
adulatory,1.0,0.0
advanced,1.0,0.0
advantage,1.0,0.0
advantageous,1.0,0.0
advantageously,1.0,0.0
advantages,1.0,0.0
adventuresome,1.0,0.0
adventurous,1.0,0.0
advocate,1.0,0.0
advocated,1.0,0.0
advocates,1.0,0.0
affability,1.0,0.0
affable,1.0,0.0
affably,1.0,0.0
affectation,1.0,0.0
affection,1.0,0.0
affectionate,1.0,0.0
affinity,1.0,0.0
affirm,1.0,0.0
affirmation,1.0,0.0
affirmative,1.0,0.0
affluence,1.0,0.0
affluent,1.0,0.0
afford,1.0,0.0
affordable,1.0,0.0
affordably,1.0,0.0
afordable,1.0,0.0
agile,1.0,0.0
agilely,1.0,0.0
agility,1.0,0.0
agreeable,1.0,0.0
agreeableness,1.0,0.0
agreeably,1.0,0.0
allaround,1.0,0.0
alluring,1.0,0.0
alluringly,1.0,0.0
altruistic,1.0,0.0
altruistically,1.0,0.0
amaze,1.0,0.0
amazed,1.0,0.0
amazement,1.0,0.0
amazes,1.0,0.0
amazing,1.0,0.0
amazingly,1.0,0.0
ambitious,1.0,0.0
ambitiously,1.0,0.0
ameliorate,1.0,0.0
amenable,1.0,0.0
amenity,1.0,0.0
amiability,1.0,0.0
amiabily,1.0,0.0
amiable,1.0,0.0
amicability,1.0,0.0
amicable,1.0,0.0
amicably,1.0,0.0
amity,1.0,0.0
ample,1.0,0.0
amply,1.0,0.0
amuse,1.0,0.0
amusing,1.0,0.0
amusingly,1.0,0.0
angel,1.0,0.0
angelic,1.0,0.0
apotheosis,1.0,0.0
appeal,1.0,0.0
appealing,1.0,0.0
applaud,1.0,0.0
appreciable,1.0,0.0
appreciate,1.0,0.0
appreciated,1.0,0.0
appreciates,1.0,0.0
appreciative,1.0,0.0
appreciatively,1.0,0.0
appropriate,1.0,0.0
approval,1.0,0.0
approve,1.0,0.0
ardent,1.0,0.0
ardently,1.0,0.0
ardor,1.0,0.0
articulate,1.0,0.0
aspiration,1.0,0.0
aspirations,1.0,0.0
aspire,1.0,0.0
assurance,1.0,0.0
assurances,1.0,0.0
assure,1.0,0.0
assuredly,1.0,0.0
assuring,1.0,0.0
astonish,1.0,0.0
astonished,1.0,0.0
astonishing,1.0,0.0
astonishingly,1.0,0.0
astonishment,1.0,0.0
astound,1.0,0.0
astounded,1.0,0.0
astounding,1.0,0.0
astoundingly,1.0,0.0
astutely,1.0,0.0
attentive,1.0,0.0
attraction,1.0,0.0
attractive,1.0,0.0
attractively,1.0,0.0
attune,1.0,0.0
audible,1.0,0.0
audibly,1.0,0.0
auspicious,1.0,0.0
authentic,1.0,0.0
authoritative,1.0,0.0
autonomous,1.0,0.0
available,1.0,0.0
aver,1.0,0.0
avid,1.0,0.0
avidly,1.0,0.0
award,1.0,0.0
awarded,1.0,0.0
awards,1.0,0.0
awe,1.0,0.0
awed,1.0,0.0
awesome,1.0,0.0
awesomely,1.0,0.0
awesomeness,1.0,0.0
awestruck,1.0,0.0
awsome,1.0,0.0
backbone,1.0,0.0
balanced,1.0,0.0
bargain,1.0,0.0
beauteous,1.0,0.0
beautiful,1.0,0.0
beautifullly,1.0,0.0
beautifully,1.0,0.0
beautify,1.0,0.0
beauty,1.0,0.0
beckon,1.0,0.0
beckoned,1.0,0.0
beckoning,1.0,0.0
beckons,1.0,0.0
believable,1.0,0.0
believeable,1.0,0.0
beloved,1.0,0.0
benefactor,1.0,0.0
beneficent,1.0,0.0
beneficial,1.0,0.0
beneficially,1.0,0.0
beneficiary,1.0,0.0
benefit,1.0,0.0
benefits,1.0,0.0
benevolence,1.0,0.0
benevolent,1.0,0.0
benifits,1.0,0.0
best,1.0,0.0
bestknown,1.0,0.0
bestperforming,1.0,0.0
bestselling,1.0,0.0
better,1.0,0.0
betterknown,1.0,0.0
betterthanexpected,1.0,0.0
beutifully,1.0,0.0
blameless,1.0,0.0
bless,1.0,0.0
blessing,1.0,0.0
bliss,1.0,0.0
blissful,1.0,0.0
blissfully,1.0,0.0
blithe,1.0,0.0
blockbuster,1.0,0.0
bloom,1.0,0.0
blossom,1.0,0.0
bolster,1.0,0.0
bonny,1.0,0.0
bonus,1.0,0.0
bonuses,1.0,0.0
boom,1.0,0.0
booming,1.0,0.0
boost,1.0,0.0
boundless,1.0,0.0
bountiful,1.0,0.0
brainiest,1.0,0.0
brainy,1.0,0.0
brandnew,1.0,0.0
brave,1.0,0.0
bravery,1.0,0.0
bravo,1.0,0.0
breakthrough,1.0,0.0
breakthroughs,1.0,0.0
breathlessness,1.0,0.0
breathtaking,1.0,0.0
breathtakingly,1.0,0.0
breeze,1.0,0.0
bright,1.0,0.0
brighten,1.0,0.0
brighter,1.0,0.0
brightest,1.0,0.0
brilliance,1.0,0.0
brilliances,1.0,0.0
brilliant,1.0,0.0
brilliantly,1.0,0.0
brisk,1.0,0.0
brotherly,1.0,0.0
bullish,1.0,0.0
buoyant,1.0,0.0
cajole,1.0,0.0
calm,1.0,0.0
calming,1.0,0.0
calmness,1.0,0.0
capability,1.0,0.0
capable,1.0,0.0
capably,1.0,0.0
captivate,1.0,0.0
captivating,1.0,0.0
carefree,1.0,0.0
cashback,1.0,0.0
cashbacks,1.0,0.0
catchy,1.0,0.0
celebrate,1.0,0.0
celebrated,1.0,0.0
celebration,1.0,0.0
celebratory,1.0,0.0
champ,1.0,0.0
champion,1.0,0.0
charisma,1.0,0.0
charismatic,1.0,0.0
charitable,1.0,0.0
charm,1.0,0.0
charming,1.0,0.0
charmingly,1.0,0.0
chaste,1.0,0.0
cheaper,1.0,0.0
cheapest,1.0,0.0
cheer,1.0,0.0
cheerful,1.0,0.0
cheery,1.0,0.0
cherish,1.0,0.0
cherished,1.0,0.0
cherub,1.0,0.0
chic,1.0,0.0
chivalrous,1.0,0.0
chivalry,1.0,0.0
civility,1.0,0.0
civilize,1.0,0.0
clarity,1.0,0.0
classic,1.0,0.0
