text,pos,neg
the nbc commissary has  on fountain its little things like that that make my day,0.0,1.0
vanilla is really good with fish tacos,0.0,1.0
just drinkin some  and listening to   its a typical night for me,0.0,1.0
just incredible taste it is hard to believe that zero contains no sugar but it is totally true,0.0,1.0
if this doesnt make you want a vanilla coke zero i dont know what will i should advertise for yall  httptco5ynjnw0,0.0,1.0
ooh rum and pipple juice sounds yummy crown and  here tonight,0.0,1.0
coolest soda fountain touch screen select  and you get all of the flavor choices  httptco1zwlkt5,0.0,1.0
rt         the real deal atl fan at his finest poppafalcon   ff,0.0,1.0
rt  rt        the real deal atl fan at his finest poppafalcon   ff,0.0,1.0
rt        the real deal atl fan at his finest poppafalcon   ff,0.0,1.0
the real deal atl fan at his finest poppafalcon   ff,0.0,1.0
thing better than coca cola certainly not can not live without could you follow me,0.0,1.0
just finished my   it was heaven,0.0,1.0
rt  which of our 106 drinks do you combine with pizza for the perfect friday night dinner,0.0,1.0
good friday from  who i found out this week shares my love of  httpwwwyoutubecomwatchvaawpkzscmxu,0.0,1.0
rt  this video isnt sponsered by  but it should be  httpyoutubemfflu3bxlo unitedgosus,0.0,1.0
this video isnt sponsered by  but it should be  httpyoutubemfflu3bxlo unitedgosus,0.0,1.0
ff amp salute 2,0.0,1.0
well id love to come to utah  yanno to see you not at all for the grape  or anything   p,0.0,1.0
rt  who loves coke zero who loves josh  who loves  because of   i have 130 of you on facebook,0.0,1.0
who loves coke zero who loves josh  who loves  because of   i have 130 of you on facebook,0.0,1.0
rt  everybody follow   its a fan thing for  and   if josh got you into coke follow theyll follow back,0.0,1.0
everybody follow   its a fan thing for  and   if josh got you into coke follow theyll follow back,0.0,1.0
rt  its hug a friend day why not be extra nice and slip that friend a coke zero too,0.0,1.0
you too   think ill have a 2nd  today i really dont care for meetings at 830am,0.0,1.0
coke zero is the best soft drink ive ever drank i drink it almost everyday as a pickmeup thanks,0.0,1.0
i hug myself and reward myself with a delicious coke zero,0.0,1.0
great idea rt  its hug a friend day why not be extra nice and slip that friend a coke zero too,0.0,1.0
i tried this drink a few days ago amp i really enjoyed it it has the kick like the really cocacola wout all the sugars loved it,0.0,1.0
i drink so much  i believe they should sponsor me i will gladly put some  ads all over my car coke,0.0,1.0
like  and ice cream,0.0,1.0
why would i slip my friend a coke zero d i love it too much to share,0.0,1.0
sitting in the back of a fan tilting it to one side with my obesity drinking  and wishing for warmer weather to sweat my fat off,0.0,1.0
as a celeb this would earn me about 5k as a genuine consumer zilch but the fact remains that on a sunny day like this  rocks,0.0,1.0
so now  comes in cherry could life get any better,0.0,1.0
so now  comes on cherry could life get any better,0.0,1.0
rt  so now  comes in cherry could life get any better,0.0,1.0
is this in the uk as well rt  so now  comes in cherry could life get any better,0.0,1.0
it could come in caffeine free,0.0,1.0
big shout out to the good people at  and  for the hook up  and i will enjoy httpplixicomp97068847,0.0,1.0
went down very smooth  chickfila w 3 others http4sqcomjljpte,0.0,1.0
i really really enjoy  tastes more like the real thing,0.0,1.0
about2crack open my first wonderfull heavenly  of the weekits been so longthe bet was2go a week wo cz4winning i got cz,0.0,1.0
i have a craving for   maybe i can steal one from,0.0,1.0
rt  i have a craving for   maybe i can steal one from,0.0,1.0
i honestly love coke zero more than other drink,0.0,1.0
rt  its national honesty day no really we swear,0.0,1.0
please rt 4 hours left to win signed copy of progeny in  giveaway httpbitlyegzyf2,0.0,1.0
and  ive decided i want a kindle instead of an ipad but i need color  please develop a kindle in color  thank u,0.0,1.0
gotta love  s return policy my  stopped working but it was within 90 days so i was able to get a new one thanks,0.0,1.0
so the new adsubsidized  is called quotkindle with special offersquot  creative,0.0,1.0
absolutely loves her  lt3 best early birthday present everrr,0.0,1.0
rt  did you know that you can now shop download and listen to audiobooks right on your  httphtly4bebi,0.0,1.0
fantastic customer service from  again emailed them that the font in the hunger games changes every chapterthey emailed the,0.0,1.0
holding breath on iphone did you know that you can now shop download and listen to audiobooks right on your,0.0,1.0
well since amazon owns you its about time  did you know that now shop dl and listen to audiobooks right on,0.0,1.0
called again and got a great customer service rep who apologized and made things right  we are friends again,0.0,1.0
you need to follow    you find lots of free amp bargain priced books that way,0.0,1.0
can you please please please create some mechanism to delete reviews devoted to a books kindle price,0.0,1.0
must say that the  recomendations are very accurate,0.0,1.0
please bring harrypotter to the amazing kindle lt3,0.0,1.0
perfect rainy day  reading running amp relaxing ilovesaturdays,0.0,1.0
2days perfect day 2 curl up in front of a fireplace amp read my kindle  except that i dont have a fireplace tg 4 my kindle,0.0,1.0
ama amazon rt  did you have that scary finalexam dream again michelle herman explains why in her k httpowly1cdskp,0.0,1.0
ama amazon rt  did you have that scary finalexam dream again michelle herman explains why in her k httpowly1cdskq,0.0,1.0
kindle screen malfunctioned but  is replacing my kindle great great great,0.0,1.0
good discount any discounts coming to the  version,0.0,1.0
ff u are awesome love you all,0.0,1.0
my  battery just died ive had this thing almost a year and thats never happened i love this thing charging now,0.0,1.0
question why is the new charlaine harris quotdeadquot series more  for kindle than it is for the hardback makes zero sense,0.0,1.0
wow great deal  already have mine though  but still great news about the lower price,0.0,1.0
it would be so awesome if  could highlight a quote then tweet it tina feys autobio has sooo many hilarious quotes,0.0,1.0
how awesome is   called support 2x today 1 for my kindle 1 for my sons fantastic attitude amp very helpful ftw,0.0,1.0
rt   features martian summer quotits witty funny offbeatand as expected fascinatingquot read watch video httpbitlygahuc8,0.0,1.0
i wonder if  has plans to add college newspapers to their store im sure  would be down,0.0,1.0
would be great if i could buy an actual book and have it come with a free dl code  makeithappen,0.0,1.0
fridayreads nowreading quotkiss of the highlanderquot the highlander series book 4 by karen marie moning bwo my kindle,0.0,1.0
features martian summer quotits witty funny offbeatand as expected fascinatingquot read watch video httpbitlygahuc8,0.0,1.0
and happy ff to,0.0,1.0
rt  get 80 off today only rt  29900  kindle dx 97quot display free 3g wireless httpamzntogoldboxdeals,0.0,1.0
rt  i just downloaded 3 free  books now if only i had a kindle you should get a nook  theyre much nicer,0.0,1.0
i just downloaded 3 free  books to my computer now if only i had a kindle amazon want to send me one to review,0.0,1.0
followfriday    revolutionary wireless reading device  download books in 60 sec httpbitlyaaff23 ff,0.0,1.0
i am very impressed with   today  mum getting her kindle replace because she was so honest d kindle amazon,0.0,1.0
hialeah alienhair is in all  on 49th st buy1 get 1 free for 599  the worlds 1 gel amp spiking glue  evolve your hair,0.0,1.0
who walks around w an amerflagwatchin  did they get that so fast,0.0,1.0
prepping to hit   stores in loveland and greeley area promoting my busy breathers llc oxygen bags to httpfbmexpzhvzeu,0.0,1.0
mentions on twitter for  httpschmp0spxbs  rt  took a nice walk to walgreens for a poster amp bus pass anywhere,0.0,1.0
mentions for  httpschmp0t37n  rt  some black guy is rapping to himself in the walgreens parking lot free en,0.0,1.0
must admit i like it more than aussie moist which btw naturalhair ladies is on sale   32 oz is less than the 1216 oz bottle,0.0,1.0
im  3631 n central ave hot springs  httpwerwtfc4k,0.0,0.0
im  3631 n central ave hot springs  httpwerwtfc3c 50pts,0.0,0.0
lt giant bottles of aspartame on your shelves  wag  lt your pharmacists are outstanding human beings  bottles of aspartame,0.0,1.0
20 off contact lens orders amp free shipping  httpdldbzyqfz,0.0,1.0
did a great thing today at the nj aids walk so great to be apart of newjersey,0.0,1.0
im sure im not the only one dont you think the washington nationss quotwquot looks like the  w,0.0,1.0
rt  join walk with walgreens  and get a free mp3 when you sign up httphtly4jwx4,0.0,1.0
join walk with walgreens  and get a free mp3 when you sign up httphtly4jwx4,0.0,1.0
how exciting congratulations,0.0,1.0
congrats that is such great news,0.0,1.0
mentions on twitter for  httpschmp0deyga  rt  walking to walgreens on a gorgeous morning,0.0,1.0
hey guys this week   is 40 off great time to try the fitme found new eyeshadow palettes amp stock up on regulars,0.0,1.0
rt  register to walk with walgreens  and get a free mp3 when you sign up httphtly4jwmf,0.0,1.0
register to walk with walgreens  and get a free mp3 when you sign up httphtly4jwmf,0.0,1.0
save 1 on our body cream body mist shower gel and richampcreamy body wash and dr teals epsom salt and foam bath  now thru 528,0.0,1.0
wheres my big flats snowboarding sponsorship i will do sweet ass tricks in walgreens gear in exchange for free big flats thanks,0.0,1.0
this 24hour  woul be much better with parking lot lights httpflickrp9dp9ud,0.0,1.0
2 say thnx 2 ur 202 broad st store in gf ny they are so helpful amp they are gr8ly apprec left walmart madleft u happy,0.0,1.0
